Title,Description,Price,Image URL
ms iron,,25,https://drive.google.com/file/d/1tp_hMUbh8lwBN2J31LlPVny3ncvH4nrA/view?usp=drivesdk
iron metal sheet,,21,https://drive.google.com/file/d/1z4d-DLdKEks-IKAwo22jPUlytY4N1nDf/view?usp=drivesdk
paint and iron tins,,15,https://drive.google.com/file/d/1KUhRJL8vZPNo5TTBES_YhdvC9q8juCah/view?usp=drivesdk
plastic,,17,https://drive.google.com/file/d/1sFFzTx8U7COFbqDt7hKH5fjXretnHeQT/view?usp=drivesdk
pvc plastic,,20,https://drive.google.com/file/d/1PinbibeD8LjX62Qx1oryJOc3ybBDl1bE/view?usp=drivesdk
stainless steel,,35,https://drive.google.com/file/d/17VyKtlE3H1Q0iMrH7MT1mKuZVLZAVsY2/view?usp=drivesdk
cotton box,,9,https://drive.google.com/file/d/1z3jtPcRR7ZorUX4g3rxdP6NYV4NaRmlB/view?usp=drivesdk
school books,,10,https://drive.google.com/file/d/1h3X6kjT1xewqvQcF38QA_SU7F4kDfEO5/view?usp=drivesdk
note book,,15,https://drive.google.com/file/d/1VZC_Tj-yw2DLzHi0AtnJx_9lFrWprldv/view?usp=drivesdk
Tamil-News-Paper,,17,https://drive.google.com/file/d/1c685HMYqnsxFm7AKaOciVE27x3mDje1T/view?usp=drivesdk
Tamil & English Navels,,5,https://drive.google.com/file/d/1wkPMOc9cY5F__YDl5fV-IKdmYkG_hY4N/view?usp=drivesdk
BB cards,,2,https://drive.google.com/file/d/1GsrZ9BMR7pk6b-9BzrGk17DyD84iv8B_/view?usp=drivesdk
aluminum,,130,https://drive.google.com/file/d/18oyb6NHk11V9HjJARXKxMfNJwkgupFsQ/view?usp=drivesdk
bc aluminum ,,110,https://drive.google.com/file/d/1BQNgZVnpiPbbZJMlAfW5Map7AJxklk7_/view?usp=drivesdk
bc mixed,,70,https://drive.google.com/file/d/1zuVqE2PGmg0UX2UUAQ3KTT2p7OxSmAr7/view?usp=drivesdk
copper,,600,https://drive.google.com/file/d/1krqIAXa1wq2wGDyGhI4hwEvUEdIpsZ7h/view?usp=drivesdk
brass,,400,https://drive.google.com/file/d/1saZ5lUZcTfMAU6ZhDJjEWLPlR44sfbCM/view?usp=drivesdk
Radiator,,60,https://drive.google.com/file/d/18sZTzCcXK7c8RhpmNbtSRehtoPjmF5p2/view?usp=drivesdk
mc battery,,59,https://drive.google.com/file/d/1xt7gH0Yk49StU2ktZFnTpqeexjjkt46o/view?usp=drivesdk
vehicle battery,,700,https://drive.google.com/file/d/1erPL3xD4qBVgbr4VX5-PIJOglvw1_ttI/view?usp=drivesdk
ups battery,,1600,https://drive.google.com/file/d/1XKYYWi2PEi9CvYtA9UKbV-d429yJopGR/view?usp=drivesdk
black plastic,,5,https://drive.google.com/file/d/1Oq-ux5Fkendm_NyDPfoigvnKwgYOeooE/view?usp=drivesdk
govt fan,,55,https://drive.google.com/file/d/1p5AMBACHK_LEdy3e78wN7g_eS1fE-YXi/view?usp=drivesdk
govt mixxer,,60,https://drive.google.com/file/d/1V_lMTFUb6iFjQKf92iDO0hX8ci--QIZR/view?usp=drivesdk
govt grainder,,185,https://drive.google.com/file/d/1xMXmsTWrZoioUaWoHm2g-aCgrEs7X0UB/view?usp=drivesdk
company table fan,,85,https://drive.google.com/file/d/1cThSlwh1zidGtS5TrzuAAcpWYnUh7Bsm/view?usp=drivesdk
company mixxer,,85,https://drive.google.com/file/d/18yo5jiFvWwoZVjQtBcC_mpXtQFVV1spE/view?usp=drivesdk
company grainder,,185,https://drive.google.com/file/d/1TC-hf7c63gs-gA6kW_iOH8UgYJN5cP8y/view?usp=drivesdk
hotel big grainder,,550,https://drive.google.com/file/d/1NMf-HzWt-VTvW4P-24SukZDU-cIygc2l/view?usp=drivesdk
Water Purifier,,75,https://drive.google.com/file/d/1byBh9hms5cCHD9i71G048RWxdt4A_rnf/view?usp=drivesdk
TV stabilizer,,50,https://drive.google.com/file/d/1KKleixQe4AxiD-NNsX1e9Oz-cYZwkRZR/view?usp=drivesdk
AC stabilizer,,90,https://drive.google.com/file/d/1NK8mOOpxn6idWcAUs8wrwZxM9Uy_zEUb/view?usp=drivesdk
water heater,,30,https://drive.google.com/file/d/1BpwbV5clHeVUe87GTGKzu0gZTT5qtYVr/view?usp=drivesdk
cooler tower fan,,60,https://drive.google.com/file/d/1kcr5zWGCYewfjFN78hrdtxQCrSOCZuSH/view?usp=drivesdk
cooler fan,,200,https://drive.google.com/file/d/1FT_7T78_LACuE9NsFBnlZ8NiSRciTjxS/view?usp=drivesdk
ups inverter,,220,https://drive.google.com/file/d/1zi1XAaQCj00OpT7pm5CSnmciIVDsd4Pq/view?usp=drivesdk
old model geyser,,450,https://drive.google.com/file/d/1l5p3kmjoMWHS8deb_MscsXGEASAlXUik/view?usp=drivesdk
new model geysar,,300,https://drive.google.com/file/d/1pVAGxmODK8T4HlwvjaFWcBLDtcGDDzyL/view?usp=drivesdk
Single door small Fridge,,450,https://drive.google.com/file/d/1mZ-26WHuEVBO53cwHk3yMQv0RYor1Shi/view?usp=drivesdk
single door big Fridge,,600,https://drive.google.com/file/d/1CoJYKle2iGrx_wLxrl_9z2MOdPZTo5uQ/view?usp=drivesdk
double door Fridge,,900,https://drive.google.com/file/d/1uHLRYBbmckwRWWKAC_7SFhcCOCOBfUkH/view?usp=drivesdk
washing machine semi plastic,,450,https://drive.google.com/file/d/16hG9cIu6_zCmAE3WJJlrwV_I6MX28SRX/view?usp=drivesdk
Washing Machine TOpLoad,,600,https://drive.google.com/file/d/1BfhhFirhEJ2AS6GyQwO5WjdM2-6Kuwdf/view?usp=drivesdk
washing machine frontload,,750,https://drive.google.com/file/d/1PWLnK_N2pl9cul74BCNCN0BG-k9w7_C6/view?usp=drivesdk
de frezer small,,800,https://drive.google.com/file/d/1QpEkl-0mHQzBdi1lJjL794tvF5oycmUQ/view?usp=drivesdk
de frezer big,,1100,https://drive.google.com/file/d/167Ap1hSejUwjMDT-gt5kyfujCbOy24WC/view?usp=drivesdk
AC 1 ton,,1600,https://drive.google.com/file/d/1EBRMN0RW3tSQ-_B9EVu-ircberykP3l6/view?usp=drivesdk
AC 1.5 ton,,1950,https://drive.google.com/file/d/1jFBDqau42g7shl0c3-5zr65FjG7nEus2/view?usp=drivesdk
cell phone,,20,https://drive.google.com/file/d/1igVSt2rgjMml5SCV_71BoeAeLEraKWSo/view?usp=drivesdk
electronic e waste,,8,https://drive.google.com/file/d/1pxQ2lgWQWaeIc4SLijI7nDVHrTzIouuZ/view?usp=drivesdk
